id,name,affiliation,alignment,notes
91,Hannah Abbott,dumbledore's army,good,Dumbledores Army
92,Ernest Macmillan,dumbledore's army,good,"Ravenclaw, Dumbeldores Army"
93,Susan Bones,dumbledore's army,good,Family murdered by Voldemort
94,Walden Macnair,death eater,bad,fantastical beast executioner
95,Augustus Rookwood,death eater,bad,fought harry at the coffee shop
96,Antonin Dolohov,death eater,bad,fought harry at the coffee shop
97,Corban Yaxley,death eater,bad,death eater
98,Kingsley Shacklebolt,order of the phoenix,good,works for the ministry
99,Amos Diggory,ministry of magic,good,father to Cedric
100,Dedalus Diggle,order of the phoenix,good,"quidditch player, auror"
101,Elphias Doge,order of the phoenix,good,said to have been a great auror
102,Gabrielle Delacour,none,good,sister to Fleur
103,Marge Dursley,muggle,good,Vernon Durselys sister
104,Dennis Creevey,dumbledore's army,good,Colins younger brother
105,Argus Filch,hogwarts,good,"Squib, hogwarts"
106,Poppy Pomfrey,hogwarts,good,Hogwarts nurse
107,Rolanda Hooch,hogwarts,good,Hogwarts flying professor
108,Fenrir Greyback,death eater,bad,Full time werewolf
109,Gellert Grindelwald,evil,bad,"Former evil leader of the world, defeated by Dumbledore"
110,Dobby,order of the phoenix,good,Elf formerly owned by malfoys
111,Kreacher,lestrange family,neutral,Elf loyal to Regulus 
